cn_0,虽然通常没什么威力，但有很低的机率来一次杀死对方。
cn_325,"巴拉尔特制的头盔，能吸收魔伤。\n每强化1级，魔防+2。\n每强化2级，防御-1。\n激活套装后：防御-3，魔防+5。\n\f=套装组件含：头盔、斗篷、T恤、鞋"
cn_326,"巴拉尔特制的斗篷，能吸收魔伤。\n每强化1级，魔防+2。\n每强化2级，防御-1。\n激活套装后：防御-3，魔防+5。\n\f=套装组件含：头盔、斗篷、T恤、鞋"
cn_327,"巴拉尔特制的链甲，能吸收魔伤。\n每强化1级，魔防+2。\n每强化2级，防御-1。"
cn_328,"巴拉尔特制的T恤，能吸收魔伤。\n每强化1级，魔防+2。\n每强化2级，防御-1。\n激活套装后：防御-3，魔防+5。\n\f=套装组件含：头盔、斗篷、T恤、鞋"
cn_329,"巴拉尔特制的长靴，能吸收魔伤。\n每强化1级，魔防+2。\n每强化2级，防御-1。\n激活套装后：防御-3，魔防+5。\n\f=套装组件含：头盔、斗篷、T恤、鞋"
cn_330,"英雄的荣誉之戒，可在马洛斯城镇的玛西娅用消耗英雄纹章升级为英雄戒指Lv.2"
cn_331,"英雄的荣誉之戒，可在马洛斯城镇的玛西娅用消耗英雄纹章升级为英雄戒指Lv.3"
cn_332,"英雄的荣誉之戒，可在马洛斯城镇的玛西娅用消耗英雄纹章升级为英雄戒指Lv.4"
cn_333,"英雄的荣誉之戒，具有强大的力量"
cn_334,"英雄的荣誉纹章，用来升级英雄项链。"
cn_335,"英雄的荣誉凭证，没有实际作用，只是用来作为英雄项链进阶的证明"
cn_336,"人们祈求神明赐予丰收，向神明献上的水晶祭品。\n可到\fW活动联络者\f>处进行抽奖。"
cn_337,"使用后可获得二次自我加速的神秘酒水。"
cn_338,"三阶净化药水礼包，打开可随机获得三阶武器/防具/饰品净化药水"
cn_339,"四阶净化药水礼包，打开可随机获得四阶武器/防具/饰品净化药水"
cn_340,"角色改名卷轴，可以更改角色名称"
cn_341,"血盟改名卷轴，可以更改血盟名称"
cn_342,"盟徽改名卷轴，可以更改盟徽名称"
cn_343,"看上去很锋利，但却只剩半截的剑身"
cn_344,"武器强化卷轴礼包，打开可获得10个可交易的武器强化卷轴，1个不可交易的武器强化卷轴"
cn_345,"防具强化卷轴礼包，打开可获得10个可交易的防具强化卷轴，1个不可交易的防具强化卷轴"
cn_346,"时光神石描述"
cn_347,"在角色死亡时，消耗1颗镇魂勾玉，不再掉落物品，不遗忘魔法"
cn_348,"使用后可随机获得2颗四元素中的任意一种"
cn_349,"谢谢参与"
cn_350,"使用后可随机获得加速类型的物品，最高可获得月辉之泪 * 99或加速术魔法书"
cn_351,"使用后可随机获得变形类型的物品，最高可获得傲骨·高级变形卷轴 * 66或[烈炎术]魔法书"
cn_352,"使用后可随机获得强化卷轴，最高可获得受祝福的强化卷轴"
cn_353,"神明对人们赠与的珍贵麦穗，一粒可种出一亩粮食。\n可到\fW活动联络者\f>处兑换奖品。"
cn_354,"使用后，随机提高2-5点体力。\n体力达到等级体力上限时，无法使用。"
cn_355,"使用后，随机提高1-3点魔力。\n魔力达到等级魔力上限时，无法使用。"
cn_356,"使用特殊材质瓶子保存的鲜酿麦酒，饮后令人精神抖擞。\n可使用鲜酿麦酒补充使用次数。\n使用后，对怪物伤害+2，对角色伤害+1。"
cn_357,"由黄金麦穗酿造而成的麦酒，需装到特殊材质的容器内才可保存新鲜。\n鲜酿麦酒用于补充神恩麦酒的使用次数，必须同时拥有神恩麦酒才可使用生效。"
cn_358,"用来吸引圣诞老人麋鹿的道具，能晃荡出麋鹿最爱的声音。\n可到\fW活动联络者\f>处兑换奖品。"
cn_359,"指引人们找到圣人的神圣之星。\n使用后增加3000点正义值。"
cn_360,"冰龙和冰凤活动进场凭证。"
cn_361,"人们庆祝踏入新一年时燃放的绚丽烟花。\n使用后可以燃放各类炫丽多彩的烟花，并获得奖励。"
cn_362,"成功击杀冰龙后获得的奖励。"
cn_363,"特殊的高级变形卷轴，可变身成寒冬独有的怪物。"
cn_364,"闪耀着神圣光芒，指引人们找到圣人的神圣之星。\n使用后增加10000点正义值。"
cn_365,"当日已购买过[沉睡冰魄]的凭证，没有其他用途。\n\f=物品失效时间：次日00:00"
cn_366,"离开冰雪之地必须的卷轴。\n\f=5秒后自动传送离开冰雪之地。"
cn_367,"特殊的高级变形卷轴，可变身成寒冬独有的怪物和傲骨死骑。"
cn_368,"在活动期间，可到马洛斯城镇的\fW活动联络者\f>兑换为跨年烟花。"
cn_369,"成功击杀冰凤后获得的奖励。"
cn_370,"抵达指定位置点燃后，有概率获得受祝福的强化卷轴、[召唤术]魔法书等珍稀物品"
cn_371,"抵达指定位置点燃后，有概率获得受祝福的强化卷轴等珍稀物品"
cn_372,"狩猎徽章所兑换的礼盒。有机会随机开出七种屈原长靴中的其中一种。"
cn_373,"为先贤者们特别准备的弓弩，有效期15天。"
cn_374,"为先贤者们特别准备的法杖，有效期15天。"
cn_375,"为先贤者们特别准备的利剑，有效期15天。"
cn_376,"为先贤者们特别准备的头盔，有效期15天。\n激活套装后：hp+100。\n\f=套装组件含：头盔、T恤、盔甲、披风、手套、鞋。"
cn_377,"为先贤者们特别准备的T恤，有效期15天。\n激活套装后：hp+100。\n\f=套装组件含：头盔、T恤、盔甲、披风、手套、鞋。"
cn_378,"为先贤者们特别准备的盔甲，有效期15天。\n激活套装后：hp+100。\n\f=套装组件含：头盔、T恤、盔甲、披风、手套、鞋。"
cn_379,"为先贤者们特别准备的披风，有效期15天。\n激活套装后：hp+100。\n\f=套装组件含：头盔、T恤、盔甲、披风、手套、鞋。"
cn_380,"为先贤者们特别准备的手套，有效期15天。\n激活套装后：hp+100。\n\f=套装组件含：头盔、T恤、盔甲、披风、手套、鞋。"
cn_381,"为先贤者们特别准备的鞋子，有效期15天。\n激活套装后：hp+100。\n\f=套装组件含：头盔、T恤、盔甲、披风、手套、鞋。"
cn_382,"激活套装后：hp+100。"
cn_383,"限时物品，有效期7天。\n为先贤者们特别准备的礼包，回归玩家专属福利，使用可获得15天时效的先贤者防具和武器。"
cn_384,"装有万能药的木匣，使用可获得随机1个万能药（智力/力量/敏捷/毅力）。"
cn_385,"装有普通魔法笔记的礼物，使用可随机获得数量不等的4-6级魔法笔记。"
cn_386,"\f=限时物品，有效时间：24小时。\f>\n装有各种经验魔方的木匣，使用可获得随机经验魔方。所含经验魔方均为限时物品，需于获得后\fW24\f>小时内使用。"
cn_387,"任务物品，不可使用。"
cn_388,"火神伏尔坎的木匣，打开可获得随机的绑定魔法书。"
cn_389,"火神伏尔坎的礼物，参与「全民分享集赞抽火神伏尔坎之礼」活动获得。"
cn_390,"任务物品，不可穿戴。"
cn_391,"参与活动\fW全民分享集赞抽火神伏尔坎之礼\f>获得之礼券，可用于在马洛斯\fW火神伏尔坎的仆从\f>处参与抽奖。"
cn_392,"在8月22日10:00后，可跟\fW天启者\f>[水淩林城镇(32722,32704)]解除\fW武器源晶(封印)\f>的封印，自行选择想要的元素之武器源晶。"
cn_393,"\f=限时物品。\f>\n受月光女神祝福的宝石，可于\fW2019-09-26 10:00:00前\f>在马洛斯的\fW月光女神的仆从\f>处用于装备重锻。"
cn_394,"\f=限时物品。\f>\n2019中秋活动物品，可用于在\fW马洛斯城镇\f>的\fW棋羿\f>处参与\fW中秋活动\f>。\n与\fW中秋礼券·兑换函\f>一起使用，可兑换\fW骰子\f>。"
cn_395,"\f=限时物品。\f>\n2019中秋活动物品，与\fW中秋礼券\f>一起使用，可用于在\fW马洛斯城镇\f>的\fW棋羿\f>处兑换\fW骰子\f>。\n每消耗\fW40\f>张\fW中秋礼券\f>及\fW1\f>张\fW中秋礼券·兑换函\f>即可兑换1个\fW骰子\f>。"
cn_396,"\f=限时物品。\f>\n可在马洛斯城镇的\fW棋羿\f>处参与\fW幸运棋盘\f>。"
cn_397,"\f=限时物品。\f>\n可在马洛斯城镇的\fW棋羿\f>处凭券兑换获得\fW骰子\f>。\n每消耗\fW1\f>张\fW骰子优惠券\f>即可兑换\fW1\f>个\fW骰子\f>。"
cn_398,"\f=限时物品。\f>\n使用即可进入\fW伊娃之岛\f>。"
cn_399,"伊娃之岛产出的果实，使用可增加3000正义值。"
cn_400,"记载着武器研究心得的珍贵卷轴，可对武器进行强化升级，成功几率更高"
cn_401,"记载着防具研究心得的珍贵卷轴，可对防具进行强化升级，成功几率更高"
cn_402,"写满诡异符文的卷轴。\n使用后可获得100铂金币。"
cn_403,"写满诡异符文的卷轴。\n可在马洛斯的西瑞尔[变形]处以3个兑换1个高级变形卷轴 (绑定)。"
cn_404,"红岩炼狱的特有产物。\n可用于在马洛斯城镇的\fW活动使者[红岩炼狱]\f>处兑换奖励。"
cn_405,"在马洛斯\fW活动使者[红岩炼狱]\f>处兑换获得的礼盒，有极低机率可获得稀世的[召唤术][血祭][野蛮疾走]魔法书。"
cn_406,NULL
cn_407,NULL
cn_408,NULL
cn_409,NULL
cn_410,NULL
cn_411,NULL
cn_412,NULL
cn_413,NULL
cn_414,"\f=限时物品，有效期7天。\f>\n等级≥40的冒险者可凭券于\fW隐藏之谷\f>活动开启期间前往马洛斯的\fW隐藏之谷·誓\f>处消耗该券进入\fW隐藏之谷·誓\f>。"
cn_415,NULL
cn_416,NULL
cn_417,NULL
cn_418,NULL
cn_419,NULL
cn_420,NULL
cn_421,NULL
cn_422,NULL
cn_423,NULL
cn_424,NULL
cn_425,NULL
cn_426,NULL
cn_427,NULL
cn_428,NULL
cn_429,NULL
cn_430,NULL
cn_431,NULL
cn_432,NULL
cn_433,NULL
cn_434,NULL
cn_435,NULL
cn_436,NULL
cn_437,NULL
cn_438,NULL
cn_439,NULL
cn_440,NULL
cn_441,NULL
cn_442,NULL
cn_443,NULL
cn_444,NULL
cn_445,NULL
cn_446,NULL
cn_447,NULL
cn_448,NULL
cn_449,NULL
cn_450,NULL
cn_451,NULL
cn_452,NULL
cn_453,NULL
cn_454,NULL
cn_455,NULL
cn_456,NULL
cn_457,NULL
cn_458,NULL
cn_459,NULL
cn_460,NULL
cn_461,NULL
cn_462,NULL
cn_463,NULL
cn_464,NULL
cn_465,NULL
cn_466,NULL
cn_467,NULL
cn_468,NULL
cn_469,NULL
cn_470,NULL
cn_471,NULL
cn_472,NULL
cn_473,NULL
cn_474,NULL
cn_475,NULL
cn_476,NULL
cn_477,NULL
cn_478,NULL
cn_479,NULL
cn_480,NULL
cn_481,NULL
cn_482,NULL
cn_483,NULL
cn_484,NULL
cn_485,"激活套装后：体力+20"
cn_486,"激活套装后：防御-1，体力+10"
cn_487,"激活套装后：防御-3，魔防+5"
cn_488,激活套装后：变身死亡骑士，防御-4，体力恢复-7
cn_489,激活套装后：变身布伦丹，防御-4，体力恢复-7
cn_490,激活套装后：防御-3
cn_491,激活套装后：防御-3
cn_492,激活套装后：防御-1，体力+5
cn_493,激活套装后：防御-3
cn_494,激活套装后：防御-2，体力+10
cn_495,激活套装后：魔力+50，土防+5
cn_496,激活套装后：防御-3
cn_497,激活套装后：防御-2，魔防+10
cn_498,"我的盾牌！我的军团！忠于我的国家！\n——红骑士宣言。\n激活套装后：防御-2，魔防+10。\n\f=套装组件含：头盔、斗篷、盾牌"
cn_499,承载希望的和平之刃。
cn_500,精灵巧匠特制的皮质手套。
cn_501,奇幻的魔法头盔，装备后能够施展附魔武器、体魄强健术与破匿之眼。
cn_502,"神秘的晶石，刻有精灵古文，蕴含着神奇的魔法力量！ \n分类：1级魔法（职业）\n效果：有一定机率依照自身的属性类型来降低目标对应属性防御50%。成功率与双方等级差有关。\n学习要求：\n精灵：40级"
cn_503,"这是一把能蛊惑人心的恐怖法杖，贝雷特在神殿雪塔偷偷修炼黑魔法，就是受到法杖的诱惑，而变得邪恶无比，装备后魔力恢复增强。 ,"
cn_504,为抗击兽人入侵，精灵族铁匠大师历经险难，终于在德雷克山岳寻得珍贵之材，成功锻造出碎甲之刃，对不死系伤害加成。
cn_505,蕴含神力的神秘卷轴，源自于伏尔坎神的信仰，可强化装备火属性。
cn_506,质脆味美、营养丰富，食用后增进血液循环。
cn_507,奇特的探险之靴，装备后能够在深海中呼吸自如。
cn_508,一顶普通的灯笼，使用后获得照明效果，照明范围大。
cn_509,采用油布制作的斗篷，非常耐磨。
cn_510,"皇室秘典，承载着古往今来的王者之能！ \n分类：1级魔法（职业）\n效果：召唤同公会的指定成员到自己当前的位置。 \n学习要求：\n王族：30级"
cn_511,一把铜钥匙。
cn_512,上等绿宝石。
cn_513,果身弯曲，果肉松软，食用后缓解紧张，淡定走遍地监路。
cn_514,宠物项圈，驯服宠物之用。
cn_515,使用后增加1点体质属性点数。单个属性最多获得5点万能药加成，每个角色最多能使用15个万能药。\n此属性点数等效于装备的点数加成，不受属性重置影响。（包括回忆泉水、生命圣泉和轮回奥术。）
cn_516,特殊的魔法戒指，嵌合碧水之心，装备后提升水属性防御。
cn_517,上等蓝宝石。
cn_518,普通钻石。
cn_519,受幸运魔法加持的匕首，有一定机率对目标造成大量伤害。
cn_520,"珍稀的魔法手札，远古魔法师的毕生之著，记载着远古魔法师对法则的感悟与心得。 \n分类：2级魔法（职业）\n效果：将已死亡的对象复活，使其体力值完全恢复。 \n学习要求：\n法师：32级"
cn_521,"水晶石，源自月光女神的祝福，蕴含着祥和的水属性力量！ \n分类：6级魔法（职业）\n效果：有一定机率使目标在持续时间内禁止治疗，该负面状态可被圣洁之光清除。成功率与双方等级差有关。 \n学习要求：\n精灵：50级"
cn_522,普通的铁制头盔。
cn_523,一柄精心制作的银制斧头，对不死系伤害加成。
cn_524,卡美洛虽然不复存在，但人们仍抱有希望，新卡美洛就是他们的期盼之地。
cn_525,"珍稀的魔法手札，远古魔法师的毕生之著，记载着远古魔法师对法则的感悟与心得。 \n分类：2级魔法（职业）\n效果：恢复目标的大量体力值，也可对不死系怪物造成伤害。 \n学习要求：\n法师：32级"
cn_526,一根普通的蜡烛，使用后获得照明效果，照明范围小。
cn_527,闪动着耀眼光芒的黄金指环，装备后增加魔法防御。
cn_528,经自然发酵酿造出来的果酒，酒香甘醇。
cn_529,"风晶石，源自月光女神的祝福，蕴含着轻灵的风属性力量！ \n分类：4级魔法（职业）\n效果：为自己及同队伍成员提升2点远程命中及3点远程攻击伤害。 \n学习要求：\n精灵：40级"
cn_530,根据古老图纸改造而出的箭矢。
cn_531,巴风特修炼黑魔法坠入黑暗，在他变化之际，截取了头上犄角，将之炼化成法杖，装备后有机率触发魔法技能。
